    477.78    690.20    159.77    160.06    277.17     64.77    591.30    591.01
    990.78    989.30   1105.38    891.19   1421.65   1423.66   1502.28   1289.93
   1143.85    932.00   1461.86   1463.74   1349.75   1562.62   1032.39   1033.60
    633.06    632.80    518.88    731.75    200.62    198.75    118.50    331.23

   1018.54   1019.42   1134.27    921.94   1451.06   1451.01   1532.55   1319.23
   1173.24    960.71   1490.18   1491.45   1374.97   1587.78   1058.56   1061.14
    658.23    658.54    542.73    755.26    225.91    224.22    146.39    358.27
    507.44    720.59    189.73    190.28    306.25     93.65    620.68    619.85

      1.00      1.04      0.64      1.14      0.05     -0.03     -0.18      0.45
      0.92      1.37      0.26     -0.02      0.62      0.13      1.35      1.25
     -2.10     -1.76     -3.00     -2.29     -3.85     -4.20     -3.63     -2.94
      1.83      1.57      2.23      2.31      1.91      2.07      1.41      0.54

