    469.62    674.75    148.89    149.34    252.78     44.08    570.94    572.06
    974.33    974.04   1081.43    872.26   1400.15   1399.55   1484.25   1276.26
   1127.23    921.42   1446.72   1446.72   1346.42   1550.25   1025.30   1024.75
    622.71    621.29    517.82    723.23    197.03    197.85    112.42    320.66

   1025.14   1027.17   1129.34    922.03   1448.63   1448.87   1534.12   1326.88
   1178.07    970.70   1498.00   1497.74   1392.39   1599.72   1073.33   1072.93
    670.72    670.48    565.89    772.24    244.24    244.32    161.46    369.23
    518.70    725.08    199.83    200.16    301.30     95.42    620.05    620.91

      1.39      1.23      0.97      1.68      1.12      0.96      1.20      1.25
      1.50      1.38      1.38      1.30      1.44      1.27      1.42      1.39
      1.21      1.18      1.29      1.24      0.96      0.87      0.88      0.91
      1.08      1.09      0.63      0.61      0.66      0.25      0.88      0.81

